,Sampling Rate [kHz],Fault Location,Fault Width [mm],Motor load [hp],Shaft speed [rpm],Fault Mode,File Number
0,12,DE,0.18,0,1797,Inner Race Fault,105
1,12,DE,0.18,1,1772,Inner Race Fault,106
2,12,DE,0.18,2,1750,Inner Race Fault,107
3,12,DE,0.18,3,1730,Inner Race Fault,108
4,12,DE,0.36,0,1797,Inner Race Fault,169
5,12,DE,0.36,1,1772,Inner Race Fault,170
6,12,DE,0.36,2,1750,Inner Race Fault,171
7,12,DE,0.36,3,1730,Inner Race Fault,172
8,12,DE,0.53,0,1797,Inner Race Fault,209
9,12,DE,0.53,1,1772,Inner Race Fault,210
10,12,DE,0.53,2,1750,Inner Race Fault,211
11,12,DE,0.53,3,1730,Inner Race Fault,212
12,12,DE,0.71,0,1797,Inner Race Fault,3001
13,12,DE,0.71,1,1772,Inner Race Fault,3002
14,12,DE,0.71,2,1750,Inner Race Fault,3003
15,12,DE,0.71,3,1730,Inner Race Fault,3004
16,48,DE,0.18,0,1797,Inner Race Fault,109
17,48,DE,0.18,1,1772,Inner Race Fault,110
18,48,DE,0.18,2,1750,Inner Race Fault,111
19,48,DE,0.18,3,1730,Inner Race Fault,112
20,48,DE,0.36,0,1797,Inner Race Fault,174
21,48,DE,0.36,1,1772,Inner Race Fault,175
22,48,DE,0.36,2,1750,Inner Race Fault,176
23,48,DE,0.36,3,1730,Inner Race Fault,177
24,48,DE,0.53,0,1797,Inner Race Fault,213
25,48,DE,0.53,1,1772,Inner Race Fault,214
26,48,DE,0.53,2,1750,Inner Race Fault,215
27,48,DE,0.53,3,1730,Inner Race Fault,217
28,12,FE,0.18,0,1797,Inner Race Fault,278
29,12,FE,0.18,1,1772,Inner Race Fault,279
30,12,FE,0.18,2,1750,Inner Race Fault,280
31,12,FE,0.18,3,1730,Inner Race Fault,281
32,12,FE,0.36,0,1797,Inner Race Fault,274
33,12,FE,0.36,1,1772,Inner Race Fault,275
34,12,FE,0.36,2,1750,Inner Race Fault,276
35,12,FE,0.36,3,1730,Inner Race Fault,277
36,12,FE,0.53,0,1797,Inner Race Fault,270
37,12,FE,0.53,1,1772,Inner Race Fault,271
38,12,FE,0.53,2,1750,Inner Race Fault,272
39,12,FE,0.53,3,1730,Inner Race Fault,273
40,12,DE,0.18,0,1797,Ball Fault,118
41,12,DE,0.18,1,1772,Ball Fault,119
42,12,DE,0.18,2,1750,Ball Fault,120
